Date Time,Open,High,Low,Close,Volume
2009/6/5,3379.92,3393.077,3352.628,3355.778,100
2009/6/8,3355.911,3380.714,3321.765,3350.238,100
2009/6/9,3347.856,3366.911,3282,3366.911,100
2009/6/10,3373.029,3403.281,3363.883,3403.208,100
2009/6/11,3399.551,3422.131,3363.973,3382.997,100
2009/6/12,3376.595,3391.374,3281.248,3309.587,100
2009/6/15,3303.739,3356.714,3296.579,3356.714,100
2009/6/16,3330.628,3357.441,3317.829,3349.35,100
2009/6/17,3346.653,3406.913,3334.168,3403.962,100
2009/6/18,3410.629,3432.09,3406.326,3431.281,100
2009/6/19,3433.201,3448.842,3415.751,3434.055,100
2009/6/22,3451.866,3454.895,3393.324,3405.13,100
2009/6/23,3365.241,3421.237,3353.025,3392.112,100
2009/6/24,3394.77,3431.444,3384.476,3431.444,100
2009/6/25,3435.002,3441.582,3411.527,3427.473,100
2009/6/26,3433.725,3453.614,3419.369,3448.461,100
2009/6/29,3451.778,3484.231,3444.979,3476.788,100
2009/6/30,3483.578,3484.944,3439.768,3452.263,100
2009/7/1,3446.446,3503.754,3444.47,3503.754,100
2009/7/2,3516.309,3540.641,3500.891,3540.509,100
2009/7/3,3519.695,3584.858,3507.178,3584.858,100
2009/7/6,3593.624,3601.912,3557.667,3592.64,100
2009/7/7,3588.669,3616.166,3563.273,3589.187,100
2009/7/8,3567.591,3640.337,3560.11,3633.433,100
2009/7/9,3637.388,3701.79,3631.297,3701.79,100
2009/7/10,3706.56,3747.122,3697.98,3719.97,100
2009/7/13,3711.447,3782.109,3705.433,3754.344,100
2009/7/14,3762.319,3813.876,3762.319,3813.876,100
2009/7/15,3824.326,3850.962,3820.242,3848.632,100
2009/7/16,3860.68,3873.333,3821.242,3829.207,100
2009/7/17,3827.252,3862.288,3809.498,3852.863,100
2009/7/20,3863.472,3919.448,3855.774,3919.426,100
2009/7/21,3922.109,3922.571,3814.922,3824.288,100
2009/7/22,3817.865,3894.694,3817.865,3894.563,100
2009/7/23,3900.015,3933.113,3892.651,3933.113,100
2009/7/24,3945.237,3952.317,3831.396,3907.967,100
2009/7/27,3918.267,3972.668,3914.317,3972.644,100
2009/7/28,3974.006,4023.013,3936.205,4022.91,100
2009/7/29,4013.033,4019.195,3678.888,3764.64,100
2009/7/30,3773.148,3830.351,3670.905,3803.124,100
2009/7/31,3826.193,3933.37,3816.471,3928.584,100
2009/8/3,3944.697,4020.625,3928.927,4020.266,100
2009/8/4,4024.681,4071.129,3975.507,4069.346,100
2009/8/5,4065.426,4099.527,3993.107,4069.338,100
2009/8/6,4040.222,4093.701,3946.59,4015.421,100
2009/8/7,4008.225,4036.204,3875.756,3893.125,100
2009/8/10,3935.045,3970.177,3857.5,3933.047,100
2009/8/11,3946.151,3964.422,3900.058,3953.293,100
2009/8/12,3944.344,3944.344,3762.236,3770.137,100
2009/8/13,3772.668,3800.529,3705.368,3778.14,100
2009/8/14,3780.394,3789.754,3609.658,3609.698,100
2009/8/17,3558.321,3571.817,3356.201,3358.103,100
2009/8/18,3326.866,3436.479,3310.898,3424.775,100
2009/8/19,3427.099,3436.952,3215.547,3247.526,100
2009/8/20,3247.209,3378.807,3239.825,3374.351,100
2009/8/21,3366.461,3469.067,3344.309,3468.042,100
2009/8/24,3472.493,3556.712,3449.221,3541.804,100
2009/8/25,3523.815,3523.815,3384.445,3485.924,100
2009/8/26,3466.215,3622.666,3444.816,3595.115,100
2009/8/27,3585.368,3662.473,3557.766,3629.513,100
